"Level","ProvinceID","Province","MunicipalityID","Municipality","AgeGroup","Male","Female","Total","ScrapedOn"
"Municipality","1","Eastern Cape","1129","EC138 - Sakhisizwe","50-59","2209","2966","5175","2026-09-22"
"Municipality","1","Eastern Cape","1129","EC138 - Sakhisizwe","60-69","1963","2888","4851","2026-09-22"
"Municipality","1","Eastern Cape","1129","EC138 - Sakhisizwe","70-79","1140","1639","2779","2026-09-22"
"Municipality","1","Eastern Cape","1129","EC138 - Sakhisizwe","80+","421","929","1350","2026-09-22"
"Municipality","1","Eastern Cape","1149","EC139 - Enoch Mgijima","18-19","1555","1883","3438","2026-09-22"
"Municipality","1","Eastern Cape","1149","EC139 - Enoch Mgijima","20-29","9034","10433","19467","2026-09-22"
"Municipality","1","Eastern Cape","1149","EC139 - Enoch Mgijima","30-39","12493","13977","26470","2026-09-22"
"Municipality","1","Eastern Cape","1149","EC139 - Enoch Mgijima","40-49","11984","13475","25459","2026-09-22"
"Municipality","1","Eastern Cape","1149","EC139 - Enoch Mgijima","50-59","9382","12207","21589","2026-09-22"
"Municipality","1","Eastern Cape","1149","EC139 - Enoch Mgijima","60-69","7167","11124","18291","2026-09-22"
"Municipality","1","Eastern Cape","1149","EC139 - Enoch Mgijima","70-79","3584","5993","9577","2026-09-22"
"Municipality","1","Eastern Cape","1149","EC139 - Enoch Mgijima","80+","1129","2746","3875","2026-09-22"
"Municipality","1","Eastern Cape","1131","EC141 - Elundini","18-19","777","697","1474","2026-09-22"
"Municipality","1","Eastern Cape","1131","EC141 - Elundini","20-29","5553","5129","10682","2026-09-22"
"Municipality","1","Eastern Cape","1131","EC141 - Elundini","30-39","7288","7073","14361","2026-09-22"
"Municipality","1","Eastern Cape","1131","EC141 - Elundini","40-49","5864","6011","11875","2026-09-22"
"Municipality","1","Eastern Cape","1131","EC141 - Elundini","50-59","3989","5828","9817","2026-09-22"
"Municipality","1","Eastern Cape","1131","EC141 - Elundini","60-69","3478","5732","9210","2026-09-22"
"Municipality","1","Eastern Cape","1131","EC141 - Elundini","70-79","2097","3481","5578","2026-09-22"
"Municipality","1","Eastern Cape","1131","EC141 - Elundini","80+","1199","2601","3800","2026-09-22"
"Municipality","1","Eastern Cape","1132","EC142 - Senqu","18-19","923","1073","1996","2026-09-22"
"Municipality","1","Eastern Cape","1132","EC142 - Senqu","20-29","5183","6226","11409","2026-09-22"
"Municipality","1","Eastern Cape","1132","EC142 - Senqu","30-39","6889","7693","14582","2026-09-22"
"Municipality","1","Eastern Cape","1132","EC142 - Senqu","40-49","6151","6944","13095","2026-09-22"
"Municipality","1","Eastern Cape","1132","EC142 - Senqu","50-59","4372","5686","10058","2026-09-22"
"Municipality","1","Eastern Cape","1132","EC142 - Senqu","60-69","3729","5549","9278","2026-09-22"
"Municipality","1","Eastern Cape","1132","EC142 - Senqu","70-79","1944","3390","5334","2026-09-22"
"Municipality","1","Eastern Cape","1132","EC142 - Senqu","80+","738","1958","2696","2026-09-22"
"Municipality","1","Eastern Cape","1148","EC145 - Walter Sisulu","18-19","533","689","1222","2026-09-22"
"Municipality","1","Eastern Cape","1148","EC145 - Walter Sisulu","20-29","3371","4347","7718","2026-09-22"
"Municipality","1","Eastern Cape","1148","EC145 - Walter Sisulu","30-39","4111","4788","8899","2026-09-22"
"Municipality","1","Eastern Cape","1148","EC145 - Walter Sisulu","40-49","4177","4666","8843","2026-09-22"
"Municipality","1","Eastern Cape","1148","EC145 - Walter Sisulu","50-59","3127","3565","6692","2026-09-22"
"Municipality","1","Eastern Cape","1148","EC145 - Walter Sisulu","60-69","1925","2746","4671","2026-09-22"
"Municipality","1","Eastern Cape","1148","EC145 - Walter Sisulu","70-79","940","1450","2390","2026-09-22"
"Municipality","1","Eastern Cape","1148","EC145 - Walter Sisulu","80+","310","669","979","2026-09-22"
"Municipality","1","Eastern Cape","1138","EC153 - Ngquza Hill","18-19","2863","3097","5960","2026-09-22"
"Municipality","1","Eastern Cape","1138","EC153 - Ngquza Hill","20-29","15750","16855","32605","2026-09-22"
"Municipality","1","Eastern Cape","1138","EC153 - Ngquza Hill","30-39","17142","19935","37077","2026-09-22"
"Municipality","1","Eastern Cape","1138","EC153 - Ngquza Hill","40-49","12816","16233","29049","2026-09-22"
"Municipality","1","Eastern Cape","1138","EC153 - Ngquza Hill","50-59","7261","12220","19481","2026-09-22"
"Municipality","1","Eastern Cape","1138","EC153 - Ngquza Hill","60-69","5858","9701","15559","2026-09-22"
"Municipality","1","Eastern Cape","1138","EC153 - Ngquza Hill","70-79","3003","5726","8729","2026-09-22"
"Municipality","1","Eastern Cape","1138","EC153 - Ngquza Hill","80+","2759","5805","8564","2026-09-22"
"Municipality","1","Eastern Cape","1139","EC154 - Port St Johns","18-19","2648","2795","5443","2026-09-22"
"Municipality","1","Eastern Cape","1139","EC154 - Port St Johns","20-29","11910","12146","24056","2026-09-22"
"Municipality","1","Eastern Cape","1139","EC154 - Port St Johns","30-39","10288","12122","22410","2026-09-22"
"Municipality","1","Eastern Cape","1139","EC154 - Port St Johns","40-49","7221","9039","16260","2026-09-22"
"Municipality","1","Eastern Cape","1139","EC154 - Port St Johns","50-59","4089","6745","10834","2026-09-22"
"Municipality","1","Eastern Cape","1139","EC154 - Port St Johns","60-69","3332","5533","8865","2026-09-22"
"Municipality","1","Eastern Cape","1139","EC154 - Port St Johns","70-79","1780","3284","5064","2026-09-22"
"Municipality","1","Eastern Cape","1139","EC154 - Port St Johns","80+","1224","2730","3954","2026-09-22"
"Municipality","1","Eastern Cape","1140","EC155 - Nyandeni","18-19","2687","3075","5762","2026-09-22"
"Municipality","1","Eastern Cape","1140","EC155 - Nyandeni","20-29","15279","16270","31549","2026-09-22"
"Municipality","1","Eastern Cape","1140","EC155 - Nyandeni","30-39","16826","19560","36386","2026-09-22"
"Municipality","1","Eastern Cape","1140","EC155 - Nyandeni","40-49","12208","16677","28885","2026-09-22"
"Municipality","1","Eastern Cape","1140","EC155 - Nyandeni","50-59","7363","12703","20066","2026-09-22"
"Municipality","1","Eastern Cape","1140","EC155 - Nyandeni","60-69","6067","9761","15828","2026-09-22"
"Municipality","1","Eastern Cape","1140","EC155 - Nyandeni","70-79","2987","5578","8565","2026-09-22"
"Municipality","1","Eastern Cape","1140","EC155 - Nyandeni","80+","2015","4624","6639","2026-09-22"
"Municipality","1","Eastern Cape","1141","EC156 - Kumkani Mhlontlo","18-19","1844","1941","3785","2026-09-22"
"Municipality","1","Eastern Cape","1141","EC156 - Kumkani Mhlontlo","20-29","9255","8931","18186","2026-09-22"
"Municipality","1","Eastern Cape","1141","EC156 - Kumkani Mhlontlo","30-39","11747","11977","23724","2026-09-22"
"Municipality","1","Eastern Cape","1141","EC156 - Kumkani Mhlontlo","40-49","8527","9814","18341","2026-09-22"
"Municipality","1","Eastern Cape","1141","EC156 - Kumkani Mhlontlo","50-59","5508","8546","14054","2026-09-22"
"Municipality","1","Eastern Cape","1141","EC156 - Kumkani Mhlontlo","60-69","4728","7857","12585","2026-09-22"
"Municipality","1","Eastern Cape","1141","EC156 - Kumkani Mhlontlo","70-79","2548","4852","7400","2026-09-22"
"Municipality","1","Eastern Cape","1141","EC156 - Kumkani Mhlontlo","80+","1516","3675","5191","2026-09-22"
"Municipality","1","Eastern Cape","1142","EC157 - King Sabata Dalindyebo","18-19","2937","3663","6600","2026-09-22"
"Municipality","1","Eastern Cape","1142","EC157 - King Sabata Dalindyebo","20-29","21902","26775","48677","2026-09-22"
"Municipality","1","Eastern Cape","1142","EC157 - King Sabata Dalindyebo","30-39","26502","33447","59949","2026-09-22"
"Municipality","1","Eastern Cape","1142","EC157 - King Sabata Dalindyebo","40-49","20369","27723","48092","2026-09-22"
"Municipality","1","Eastern Cape","1142","EC157 - King Sabata Dalindyebo","50-59","13259","21855","35114","2026-09-22"
"Municipality","1","Eastern Cape","1142","EC157 - King Sabata Dalindyebo","60-69","10145","16593","26738","2026-09-22"
"Municipality","1","Eastern Cape","1142","EC157 - King Sabata Dalindyebo","70-79","4972","9062","14034","2026-09-22"
"Municipality","1","Eastern Cape","1142","EC157 - King Sabata Dalindyebo","80+","3063","7021","10084","2026-09-22"
"Municipality","1","Eastern Cape","4034","EC441 - Matatiele","18-19","1388","1392","2780","2026-09-22"
"Municipality","1","Eastern Cape","4034","EC441 - Matatiele","20-29","10361","10490","20851","2026-09-22"
"Municipality","1","Eastern Cape","4034","EC441 - Matatiele","30-39","11761","12653","24414","2026-09-22"
"Municipality","1","Eastern Cape","4034","EC441 - Matatiele","40-49","8651","10265","18916","2026-09-22"
"Municipality","1","Eastern Cape","4034","EC441 - Matatiele","50-59","5687","8579","14266","2026-09-22"
"Municipality","1","Eastern Cape","4034","EC441 - Matatiele","60-69","5026","8125","13151","2026-09-22"
"Municipality","1","Eastern Cape","4034","EC441 - Matatiele","70-79","2707","5233","7940","2026-09-22"
